burn,site,blk,spp,diam06,ht_new_06,diam08,ht_new_08,diam11,ht_tot_11,har11,diam13,ht13,diam15,ht15,biomass06,biomass08,biomass11,biomass13,biomass15
BF,76,14,LP,2.2,5.6,11.4,12,44.5,152.5,0,60,201,98.5,336,-0.172499638,1.616613731,2.988083007,3.27264429,3.734296974
BF,76,14,WS,NA,NA,NA,NA,7.3,52.9,0,NA,NA,NA,NA,NA,NA,1.380785906,NA,NA
BF,78,1,BS,2.7,3.2,3.6,3.1,NA,NA,0,NA,NA,NA,NA,0.22080004,0.535348302,NA,NA,NA
BF,78,1,LP,2,2.3,3.5,2.1,NA,NA,0,NA,NA,NA,NA,-0.276149819,0.332434468,NA,NA,NA
BF,78,1,PB,4.5,3,5.9,1.4,12,102.3,1,NA,NA,NA,NA,0.394600953,0.721608171,1.483578146,NA,NA
BF,78,1,TA,3.7,1.1,6.6,2.1,8.1,86.6,1,NA,NA,NA,NA,0.15829306,0.856959059,1.211495309,NA,NA
BF,78,1,WS,2.7,2.1,4,1.5,4,37.1,1,NA,NA,NA,NA,0.226939568,0.627753086,0.861909244,NA,NA
BF,78,2,BS,1.8,2,3.6,1.6,4.9,32.4,1,NA,NA,NA,NA,-0.222530836,0.535348302,0.886942692,NA,NA
BF,78,2,LP,5,1.3,2.8,1.9,2.8,30.5,1,NA,NA,NA,NA,0.720319819,0.089765012,0.268743826,NA,NA
BF,78,2,PB,3.5,0.5,5.5,1.9,7.6,72.1,1,NA,NA,NA,NA,0.091207706,0.636855782,0.999367275,NA,NA
BF,78,2,TA,3,0.9,4.3,0.9,NA,NA,0,NA,NA,NA,NA,-0.094886963,0.339717605,NA,NA,NA
BF,78,2,WS,1.8,2.1,4.8,1.7,4.7,24.6,1,NA,NA,NA,NA,-0.186542078,0.813679362,0.779958592,NA,NA
BF,78,3,BS,1.3,4.4,10.7,10.5,7.1,60.6,1,NA,NA,NA,NA,-0.578343937,1.726387186,1.372682895,NA,NA
BF,78,3,LP,2,2.1,5.8,4.2,8.6,39.4,1,NA,NA,NA,NA,-0.276149819,0.881727136,1.315221381,NA,NA
BF,78,3,PB,2.9,2,7.2,3,12,76.4,1,NA,NA,NA,NA,-0.135813789,0.962001434,1.369889308,NA,NA
BF,78,3,TA,2.7,1.4,5.8,2,11.6,79.7,1,NA,NA,NA,NA,-0.22208089,0.700971331,1.52400783,NA,NA
BF,78,3,WS,1.9,1.7,3,1.2,NA,NA,0,NA,NA,NA,NA,-0.131405882,0.334383189,NA,NA,NA
BF,78,4,BS,2,2.6,4.9,5.1,10.5,60.2,1,NA,NA,NA,NA,-0.107330862,0.872441455,1.664018023,NA,NA
BF,78,4,LP,1.8,1.8,5.9,2,5.4,36.2,1,NA,NA,NA,NA,-0.390729778,0.900317397,0.891544177,NA,NA
BF,78,4,PB,3.3,1.1,5.3,1.9,7.6,46.1,1,NA,NA,NA,NA,0.020173939,0.592138606,0.83625054,NA,NA
BF,78,4,TA,4.7,1.2,6.7,1.6,8.9,109.4,1,NA,NA,NA,NA,0.4470973,0.875113172,1.37309276,NA,NA
BF,78,4,WS,2.1,1.9,5.6,2.2,NA,NA,0,NA,NA,NA,NA,-0.029343652,0.970877788,NA,NA,NA
BF,78,5,BS,1.8,1.7,3.4,4.7,4.2,47.4,1,NA,NA,NA,NA,-0.222530836,0.472851951,0.896230657,NA,NA
BF,78,5,LP,1.7,2,2.2,2.3,4.6,33.8,1,NA,NA,NA,NA,-0.452889769,-0.172499638,0.732077553,NA,NA
BF,78,5,PB,4.3,2.3,6.4,2.7,5.8,60.2,1,NA,NA,NA,NA,0.339717605,0.819810721,0.730308792,NA,NA
BF,78,5,TA,4.5,2,5.5,1,6,54.9,1,NA,NA,NA,NA,0.394600953,0.636855782,0.786651659,NA,NA
BF,78,5,WS,2,1.9,3.4,1.8,3.1,24.9,1,NA,NA,NA,NA,-0.079098457,0.46202096,0.506767438,NA,NA
