burn	site	block	spp	Ht (cm)	BD (cm)	DBH (cm)
BF	92	9	LP			
BF	92	10	LP			
BF	92	11	LP	223	5.16	2.01
BF	92	12	LP	119	2.19	
BF	92	13	LP	189	5.26	1.83
BF	92	14	LP	214	4.30	2.06
TC	1	8	TA	42	0.63	
TC	1	9	TA	38	0.80	
TC	1	10	TA	25	0.48	
TC	4	8	TA	98	1.13	
TC	4	9	TA			
TC	4	10	TA			
TC	8	8	TA	40	0.57	
TC	8	9	TA			
TC	8	10	TA	62	0.84	
TC	10	8	TA			
TC	10	9	TA	74	1.09	
TC	10	10	TA			
TC	13	8	TA			
TC	13	9	TA			
TC	13	10	TA			
TC	14	8	TA			
TC	14	9	TA	206	2.04	0.67
TC	14	10	TA			
TC	19	8	TA	132	1.14	0.14
TC	19	9	TA	103	1.40	
TC	19	10	TA			
TC	23	8	TA	82	0.89	
TC	23	9	TA	132	1.74	0.18
TC	23	10	TA	193	2.25	0.2
TC	24	8	TA	80	1.04	
TC	24	9	TA			
TC	24	10	TA	73	1.28	
TC	25	8	TA			
TC	25	9	TA			
TC	25	10	TA			
TC	26	8	TA			
TC	26	9	TA			
TC	26	10	TA			
TC	27	8	TA	65	0.99	
TC	27	9	TA	65	0.66	
TC	27	10	TA	20	0.43	
TC	29	8	TA			
TC	29	9	TA			
TC	29	10	TA			
DC	30	8	TA	295	3.82	2.4
DC	30	9	TA	164	1.90	0.41
DC	30	10	TA	406	5.17	3.29
DC	31	8	TA	306	3.75	2.69
DC	31	9	TA	253	2.78	1.57
DC	31	10	TA	272	3.51	1.94
DC	34	8	TA			
DC	34	9	TA			
DC	34	10	TA			
DC	35	8	TA	83	1.01	
DC	35	9	TA	56	0.90	
DC	35	10	TA	135	2.09	0.11
DC	37	8	TA	112	1.28	
DC	37	9	TA	27	0.55	
DC	37	10	TA	145	1.08	
DC	39	8	TA			
DC	39	9	TA	244	2.44	1.29
DC	39	10	TA	49	0.76	
DC	40	8	TA	221	2.51	1.13
DC	40	9	TA	59	0.92	
DC	40	10	TA	58	0.66	
DC	42	8	TA	192	1.71	0.77
DC	42	9	TA	187	2.15	0.81
DC	42	10	TA	52	0.61	
DC	44	8	TA	98	1.13	
DC	44	9	TA			
DC	44	10	TA			
DC	46	8	TA	248	2.44	1.01
DC	46	9	TA	355	5.14	3.11
DC	46	10	TA	213	3.29	1.13
DC	49	8	TA			
DC	49	9	TA	107	1.12	
DC	49	10	TA	67	0.96	
DC	51	8	TA	86	0.97	
DC	51	9	TA	56	0.70	
DC	51	10	TA	89	0.83	
DC	53	8	TA	184	1.69	0.6
DC	53	9	TA	123	2.04	
DC	53	10	TA	112	0.81	
DC	54	8	TA			
DC	54	9	TA			
DC	54	10	TA			
BF	78	8	TA			
BF	78	9	TA			
BF	78	10	TA	46	0.55	
BF	84	8	TA			
BF	84	9	TA			
BF	84	10	TA			
TC	1	8	WS	20	0.55	
TC	1	9	WS	15	0.47	
TC	1	10	WS	27	0.68	
TC	1	11	WS	72	1.02	
TC	1	12	WS	21	0.49	
TC	1	13	WS	48	1.06	
TC	1	14	WS	43	0.75	
TC	4	8	WS	121	2.00	
TC	4	9	WS			
TC	4	10	WS	89	1.85	
TC	4	11	WS			
TC	4	12	WS			
TC	4	13	WS	32	0.66	
